dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
XG,Xianggang,1,谁啊?我是老三。,边个啊?我系阿三,,pin kɔ a ŋɔ hɐi a sam,pin55 kɔ33 a33 ŋɔ13 hɐi22 a33 sam55,pin kɔ a ŋɔ hɐi a sam,pin55 kɔ33 a33 ŋɔ13 hɐi22 a33 sam55
XG,Xianggang,2,老四呢?她正跟一个朋友说着话呢。,阿四呢?佢系度同个朋友倾紧解喇,,a sei nɛ kˈøy hɐi tou tˈuŋ kɔ pˈɐŋ jɐu kˈiŋ kɐn kɐi lɛ,a33 sei33 nɛ55 kˈøy13 hɐi35 tou22 tˈuŋ21 kɔ33 pˈɐŋ21 jɐu13 kˈiŋ35 kɐn35 kɐi lɛ21,a sei nɛ kʰøy hɐi tou tʰuŋ kɔ pʰɐŋ jɐu kʰiŋ kɐn kɐi lɛ,a33 sei33 nɛ55 kʰøy13 hɐi35 tou22 tʰuŋ21 kɔ33 pʰɐŋ21 jɐu13 kʰiŋ35 kɐn35 kɐi lɛ21
XG,Xianggang,3,她还没说完吗?,佢重未讲完咩,,kˈøy tsuŋ mei kɔŋ jyn mɛ,kˈøy13 tsuŋ mei22 kɔŋ35 jyn21 mɛ55,kʰøy t͡suŋ mei kɔŋ jyn mɛ,kʰøy13 t͡suŋ mei22 kɔŋ35 jyn21 mɛ55
XG,Xianggang,4,还没有。大概再有一会儿就说完了。,重未，大概再过一阵就讲完勒,,tsuŋ mei tai kˈɔi tsɔi kɔ jɐt tsɐn tsɐu kɔŋ jyn lak,tsuŋ22 mei22 tai22 kˈɔi3335 tsɔi33 kɔ33 jɐt5 tsɐn2235 tsɐu22 kɔŋ35 jyn21 lak3,t͡suŋ mei tai kʰɔi t͡sɔi kɔ jɐt t͡sɐn t͡sɐu kɔŋ jyn lak,t͡suŋ22 mei22 tai22 kʰɔi3335 t͡sɔi33 kɔ33 jɐt5 t͡sɐn2235 t͡sɐu22 kɔŋ35 jyn21 lak3
XG,Xianggang,5,他说马上就走，怎么这半天了还在家里?,佢话即刻就走，点解咁耐重系屋企度,,kˈøy wa tsik hak tsɐu tsɐu tim kai kɐm nɔi tsuŋ hɐi uk kˈei tou,kˈøy13 wa22 tsik5 hak5 tsɐu22 tsɐu35 tim35 kai35 kɐm33 nɔi22 tsuŋ22 hɐi35 uk5 kˈei35 tou22,kʰøy wa t͡sik hak t͡sɐu t͡sɐu tim kai kɐm nɔi t͡suŋ hɐi uk kʰei tou,kʰøy13 wa22 t͡sik5 hak5 t͡sɐu22 t͡sɐu35 tim35 kai35 kɐm33 nɔi22 t͡suŋ22 hɐi35 uk5 kʰei35 tou22
XG,Xianggang,6,你到哪儿去?我到城里去。,你去边?我入城,,nei høy pin ŋɔ jɐp sɛŋ,nei13 høy33 pin55 ŋɔ13 jɐp2 sɛŋ2135,nei høy pin ŋɔ jɐp sɛŋ,nei13 høy33 pin55 ŋɔ13 jɐp2 sɛŋ2135
XG,Xianggang,7,在那儿，不在这儿。,系嗰度，唔系呢度,,hɐi kɔ tou m hɐi nei tou,hɐi35 kɔ35 tou22 m21 hɐi35 nei55 tou22,hɐi kɔ tou m hɐi nei tou,hɐi35 kɔ35 tou22 m21 hɐi35 nei55 tou22
XG,Xianggang,8,不是那么做，要这么做。,唔系咁做，系要咁做嘅,,m hɐi kɐm tsou hɐi jiu kɐm tsou kɛ,m21 hɐi22 kɐm35 tsou22 hɐi22 jiu33 kɐm35 tsou22 kɛ33,m hɐi kɐm t͡sou hɐi jiu kɐm t͡sou kɛ,m21 hɐi22 kɐm35 t͡sou22 hɐi22 jiu33 kɐm35 t͡sou22 kɛ33
XG,Xianggang,9,太多了，用不着那么多，只要这么多就够了。,多得滞喇，唔使咁多，要咁多就够喇,,tɔ tɐk tsɐi la m sɐi kɐm tɔ jiu kɐm tɔ tsɐu kɐu la,tɔ55 tɐk5 tsɐi22 la33 m21 sɐi35 kɐm33 tɔ55 jiu33 kɐm33 tɔ55 tsɐu22 kɐu33 la33,tɔ tɐk t͡sɐi la m sɐi kɐm tɔ jiu kɐm tɔ t͡sɐu kɐu la,tɔ55 tɐk5 t͡sɐi22 la33 m21 sɐi35 kɐm33 tɔ55 jiu33 kɐm33 tɔ55 t͡sɐu22 kɐu33 la33
XG,Xianggang,10,这个大，那个小，这两个哪一个好一点呢?,呢个大，嗰个细，呢两个边个好啲呢,,nei kɔ tai kɔ kɔ sɐi nei lœŋ kɔ pin kɔ hou ti nɛ,nei55 kɔ33 tai33 kɔ35 kɔ33 sɐi33 nei55 lœŋ13 kɔ33 pin55 kɔ33 hou35 ti55 nɛ55,nei kɔ tai kɔ kɔ sɐi nei lœŋ kɔ pin kɔ hou ti nɛ,nei55 kɔ33 tai33 kɔ35 kɔ33 sɐi33 nei55 lœŋ13 kɔ33 pin55 kɔ33 hou35 ti55 nɛ55
XG,Xianggang,11,这个比那个好。,呢个好过嗰个,,nei kɔ hou kwɔ kɔ kɔ,nei55 kɔ33 hou35 kwɔ33 kɔ35 kɔ33,nei kɔ hou kwɔ kɔ kɔ,nei55 kɔ33 hou35 kwɔ33 kɔ35 kɔ33
XG,Xianggang,12,这些房子不如那些房子好。,呢啲屋不如嗰啲屋好,,nei ti uk pɐt jy kɔ ti uk hou,nei55 ti55 uk5 pɐt5 jy21 kɔ35 ti55 uk5 hou35,nei ti uk pɐt jy kɔ ti uk hou,nei55 ti55 uk5 pɐt5 jy21 kɔ35 ti55 uk5 hou35
XG,Xianggang,13,这句话用成都话怎么说?,,,,,,
XG,Xianggang,14,拿得动吗?,搦得郁吗?,,nik tɐk juk ma,nik5 tɐk5 juk5 ma33,nik tɐk juk ma,nik5 tɐk5 juk5 ma33
XG,Xianggang,15,我拿得动，他拿不动。,我搦得郁，佢搦唔郁,,ŋɔ nik tɐk juk kˈøy nik m juk,ŋɔ13 nik5 tɐk5 juk5 kˈøy13 nik5 m21 juk5,ŋɔ nik tɐk juk kʰøy nik m juk,ŋɔ13 nik5 tɐk5 juk5 kʰøy13 nik5 m21 juk5
XG,Xianggang,16,真不轻，重得连我也拿不动。,真系唔轻，重到连我都搦唔郁,,tsɐn hɐi m hɛŋ tsˈuŋ tou lin ŋɔ tou nik m juk,tsɐn35 hɐi22 m21 hɛŋ35 tsˈuŋ13 tou33 lin21 ŋɔ13 tou55 nik5 m21 juk5,t͡sɐn hɐi m hɛŋ t͡sʰuŋ tou lin ŋɔ tou nik m juk,t͡sɐn35 hɐi22 m21 hɛŋ35 t͡sʰuŋ13 tou33 lin21 ŋɔ13 tou55 nik5 m21 juk5
XG,Xianggang,17,你说得很好，你还会说点什么呢?,你讲得好好，你重识讲啲乜嘢呢,,nei kɔŋ tɐk hou hou nei tsuŋ sik kɔŋ ti mɐt jɛ nɛ,nei13 kɔŋ35 tɐk5 hou35 hou35 nei13 tsuŋ22 sik5 kɔŋ35 ti55 mɐt5 jɛ13 nɛ55,nei kɔŋ tɐk hou hou nei t͡suŋ sik kɔŋ ti mɐt jɛ nɛ,nei13 kɔŋ35 tɐk5 hou35 hou35 nei13 t͡suŋ22 sik5 kɔŋ35 ti55 mɐt5 jɛ13 nɛ55
XG,Xianggang,18,我嘴笨，我说不过他。,我唔识讲嘢，我讲唔过佢,,ŋɔ m sik kɔŋ jɛ ŋɔ kɔŋ m kwɔ kˈøy,ŋɔ13 m21 sik5 kɔŋ35 jɛ13 ŋɔ13 kɔŋ35 m21 kwɔ33 kˈøy13,ŋɔ m sik kɔŋ jɛ ŋɔ kɔŋ m kwɔ kʰøy,ŋɔ13 m21 sik5 kɔŋ35 jɛ13 ŋɔ13 kɔŋ35 m21 kwɔ33 kʰøy13
XG,Xianggang,19,说了一遍，又说一遍。,讲咗一次，又讲一次,,kɔŋ tsɔ jɐt tsˈi jɐu kɔŋ jɐt tsˈi,kɔŋ35 tsɔ35 jɐt5 tsˈi33 jɐu22 kɔŋ35 jɐt5 tsˈi33,kɔŋ t͡sɔ jɐt t͡sʰi jɐu kɔŋ jɐt t͡sʰi,kɔŋ35 t͡sɔ35 jɐt5 t͡sʰi33 jɐu22 kɔŋ35 jɐt5 t͡sʰi33
XG,Xianggang,20,请你再说一遍。,请你再讲一次,,tsˈɛŋ nei tsɔi kɔŋ jɐt tsˈi,tsˈɛŋ35 nei13 tsɔi33 kɔŋ35 jɐt5 tsˈi33,t͡sʰɛŋ nei t͡sɔi kɔŋ jɐt t͡sʰi,t͡sʰɛŋ35 nei13 t͡sɔi33 kɔŋ35 jɐt5 t͡sʰi33
XG,Xianggang,21,不早了，快去吧。,好晏喇，快啲去啦,,hou an la fai ti høy la,hou35 an33 la33 fai33 ti55 høy33 la55,hou an la fai ti høy la,hou35 an33 la33 fai33 ti55 høy33 la55
XG,Xianggang,22,现在还早着呢，等一会儿再去吧。,而家重好早嘛，等一阵先至去啦,,ji ka tsuŋ hou tsɛ tɐŋ jɐt tsɐn sin tsi høy la,ji21 ka55 tsuŋ22 hou35 tsɛ55 tɐŋ35 jɐt5 tsɐn2235 sin55 tsi33 høy33 la55,ji ka t͡suŋ hou t͡sɛ tɐŋ jɐt t͡sɐn sin t͡si høy la,ji21 ka55 t͡suŋ22 hou35 t͡sɛ55 tɐŋ35 jɐt5 t͡sɐn2235 sin55 t͡si33 høy33 la55
