dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
XN,Xining,1,谁啊?我是老三。,谁啊?我是老三哪,,fɨ a nɔ sɿ lɔ sã na,fɨ24-21 a53 nɔ53 sɿ213 lɔ53 sã44 na,fɨ a nɔ sɹ̩ lɔ sã na,fɨ24-21 a53 nɔ53 sɹ̩213 lɔ53 sã44 na
XN,Xining,2,老四呢?她正跟一个朋友说着话呢。,老四崃?家正代一个朋友唡喧者,,lɔ sɿ lɛ tɕia tʂə̃ j kɔ pˈə̃ iɯ lia ɕyã tʂɛ,lɔ53 sɿ213-21 lɛ24-53 tɕia24 tʂə̃213 j44-21 kɔ213 pˈə̃24-21 iɯ53 lia ɕyã44 tʂɛ53,lɔ sɹ̩ lɛ tɕia tʂə̃ j kɔ pˈə̃ iɯ lia ɕyã tʂɛ,lɔ53 sɹ̩213-21 lɛ24-53 tɕia24 tʂə̃213 j44-21 kɔ213 pˈə̃24-21 iɯ53 lia ɕyã44 tʂɛ53
XN,Xining,3,她还没说完吗?,家还没说完么,,tɕia xɛ mɔ fɔ uã mɔ,tɕia24 xɛ mɔ24 fɔ44 uã24-21 mɔ,tɕia xɛ mɔ fɔ uã mɔ,tɕia24 xɛ mɔ24 fɔ44 uã24-21 mɔ
XN,Xining,4,还没有。大概再有一会儿就说完了。,还没。大框模儿，再一挂挂儿嗬就说完了,,xɛ mɔ ta kˈuɔ̃ mv̩ ɛ tsɛ j kua kua ɛ xɔ tɕiɯ fɔ uã liɔ,xɛ24 mɔ24 ta213 kˈuɔ̃44 mv̩44 ɛ tsɛ213 j44-21 kua213 kua ɛ xɔ tɕiɯ213 fɔ44 uã24-21 liɔ53,xɛ mɔ ta kˈuɔ̃ mv̩ ɛ tsɛ j kua kua ɛ xɔ tɕiɯ fɔ uã liɔ,xɛ24 mɔ24 ta213 kˈuɔ̃44 mv̩44 ɛ tsɛ213 j44-21 kua213 kua ɛ xɔ tɕiɯ213 fɔ44 uã24-21 liɔ53
XN,Xining,5,他说马上就走，怎么这半天了还在家里?,家说就走唡，阿蒙致蒙半天了着还呆家里唡,,tɕia fɔ tɕiɯ tsɯ lia a mə̃ tʂʅ mə̃ pã tˈiã liɔ tʂɔ xɛ tɛ tɕia l̩ lia,tɕia24 fɔ44 tɕiɯ213 tsɯ53 lia a44-21 mə̃24 tʂʅ213-21 mə̃24 pã213 tˈiã44 liɔ tʂɔ xɛ24 tɛ213 tɕia44 l̩53 lia,tɕia fɔ tɕiɯ tsɯ lia a mə̃ tʂɻ̩ mə̃ pã tˈiã liɔ tʂɔ xɛ tɛ tɕia l̩ lia,tɕia24 fɔ44 tɕiɯ213 tsɯ53 lia a44-21 mə̃24 tʂɻ̩213-21 mə̃24 pã213 tˈiã44 liɔ tʂɔ xɛ24 tɛ213 tɕia44 l̩53 lia
XN,Xining,6,你到哪儿去?我到城里去。,你阿扎去唡?我城里去个唡,,ȵi a tʂa tɕˈj lia nɔ tʂˈə̃ l̩ tɕˈj kɔ lia,ȵi53 a44-21 tʂa53 tɕˈj213-21 lia53 nɔ53 tʂˈə̃24-21 l̩53 tɕˈj213-21 kɔ213 lia,ɲi a tʂa tɕˈj lia nɔ tʂˈə̃ l̩ tɕˈj kɔ lia,ɲi53 a44-21 tʂa53 tɕˈj213-21 lia53 nɔ53 tʂˈə̃24-21 l̩53 tɕˈj213-21 kɔ213 lia
XN,Xining,7,在那儿，不在这儿。,呆奈扎唡，没呆致扎着,,tɛ nɛ tʂa lia mɔ tɛ tʂʅ tʂa tʂɔ,tɛ213 nɛ213-21 tʂa53 lia mɔ24 tɛ213 tʂʅ213-21 tʂa53 tʂɔ,tɛ nɛ tʂa lia mɔ tɛ tʂɻ̩ tʂa tʂɔ,tɛ213 nɛ213-21 tʂa53 lia mɔ24 tɛ213 tʂɻ̩213-21 tʂa53 tʂɔ
XN,Xining,8,不是那么做，要这么做。,奈蒙价做嗬没对着，要致蒙价做唡,,nɛ mə̃ tɕia tɕy xɔ mɔ tuɨ tʂɔ iɔ tʂʅ mə̃ tɕia tɕy lia,nɛ213 mə̃24 tɕia tɕy213-21 xɔ53 mɔ24 tuɨ213-21 tʂɔ53 iɔ213 tʂʅ213-21 mə̃24 tɕia tɕy213-21 lia53,nɛ mə̃ tɕia tɕy xɔ mɔ tuɨ tʂɔ iɔ tʂɻ̩ mə̃ tɕia tɕy lia,nɛ213 mə̃24 tɕia tɕy213-21 xɔ53 mɔ24 tuɨ213-21 tʂɔ53 iɔ213 tʂɻ̩213-21 mə̃24 tɕia tɕy213-21 lia53
XN,Xining,9,太多了，用不着那么多，只要这么多就够了。,太多了，奈蒙多嗬用不完哪，致蒙些嗬就够了,,tˈɛ tu liɔ nɛ mə̃ tu xɔ yə̃ pv̩ uã na tʂʅ mə̃ ɕi xɔ tɕiɯ kɯ liɔ,tˈɛ213 tu44 liɔ nɛ213-21 mə̃24 tu44 xɔ yə̃213 pv̩213 uã24-21 na53 tʂʅ213-21 mə̃24 ɕi24-21 xɔ53 tɕiɯ213 kɯ213-21 liɔ53,tˈɛ tu liɔ nɛ mə̃ tu xɔ yə̃ pv̩ uã na tʂɻ̩ mə̃ ɕi xɔ tɕiɯ kɯ liɔ,tˈɛ213 tu44 liɔ nɛ213-21 mə̃24 tu44 xɔ yə̃213 pv̩213 uã24-21 na53 tʂɻ̩213-21 mə̃24 ɕi24-21 xɔ53 tɕiɯ213 kɯ213-21 liɔ53
XN,Xining,10,这个大，那个小，这两个哪一个好一点呢?,致个大，奈个尕，致两个阿一个好儿些,,tʂʅ kɔ ta nɛ kɔ ka tʂʅ liɔ̃ kɔ a j kɔ xɔ ɛ ɕi,tʂʅ213-21 kɔ213 ta213 nɛ213-21 kɔ213 ka24 tʂʅ213 liɔ̃53 kɔ213 a44-24 j kɔ213 xɔ53 ɛ ɕi,tʂɻ̩ kɔ ta nɛ kɔ ka tʂɻ̩ liɔ̃ kɔ a j kɔ xɔ ɛ ɕi,tʂɻ̩213-21 kɔ213 ta213 nɛ213-21 kɔ213 ka24 tʂɻ̩213 liɔ̃53 kɔ213 a44-24 j kɔ213 xɔ53 ɛ ɕi
