beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,nanchang,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
ʂei a uo ʂɻ̩ lau san,na ko ŋo sɹ̩ nau san,la ko ŋo sɹ̩ lao san,nɑ koʔ ŋo zɹ̩ lɔ sɤ̃,ʂei ia uo ʂɻ̩ ɕiau sar,xa kə ʊ ʂɻ̩ lɔ sæ̃,nA kə o ʂɻ̩ lɔ sÃ,fei ʂa və ʂɻ̩ lɔ sɛ̃n,man ŋin na ŋai he a sam,lɑ ko o ŋo sɹ̩ lɑu san lo,suei liʌʔ ŋiɤ sɹ̩ lɔ sɑŋ,sa ɲiŋ ŋu zɹ̩ aʔ se,ti tiaŋ ua kai a alu sã,siã bĩʔ laŋ gua si lau sã,suei lɤ ɣɤ sɹ̩ lau sæ̃,sei iɑ uo sɹ̩ lɑu san,a ɲi naŋ a ŋ̩ zɹ̩ lɜ sa,na kuo ŋuo sɹ̩ nau san,sei i kɤ vɤ sɹ̩ lɔ san i kɤ,sei ŋɤ sɹ̩ lau sã,pin kɔ a ŋɔ hɐi a sam,nɒ ko ŋo ʂɻ̩ naɯ san,fɨ a nɔ sɹ̩ lɔ sã na
lau sɹ̩ nə tʰa tʂəŋ kən i pʰəŋ iou ʂuo tʂə xuar nə,nau sɹ̩ nan tʰa t͡sən t͡sai kən i ko pʰoŋ iəu so xua ni,lao sɹ̩ lɛ la t͡sen t͡sai xo i ko pʰoŋ iəu so t͡ɕʰi xua lɛ lɛ,lɔ sɹ̩ nə tʰɑ dʑi t͡ɕʰiɔ doŋ ʔiəʔ koʔ boŋ ʔiø lɑʔ hɑ sɥəʔ ɦuɑ ʔɥ,lau sɹ̩ nə tʰa tʂəŋ kən i kɤ pʰəŋ iou lau kʰɤr nə,lɔ sɻ̩ t͡sɤ la kə t͡sə tʰa kən iəʔ kə pʰən iɯ t͡ɕiɑ̃ tʂɻ̩ xua t͡sɤ,lɔ sɹ̩ næ tʰə t͡sæ æ i kə poŋ iəu t͡ɕiÃ tʂə xuA,lɔ ʂɻ̩ lɛ tʰa tʂə̃n liɛ̃n i kə pə̃n iou fə xua tʂə li,a si a ki t͡saŋ tʰuŋ it t͡sak pʰen iu hok ke e liau,lɑu sɹ̩ li t͡ɕie t͡sɨn t͡sʰai kiɛn iʔ kɔ pʰuŋ iu tʰan tʰo,lɔ sɹ̩ liʌʔ uʌʔ t͡ɕiɑ tʂɻ̩ xu xuæ pʰəŋ iəu tɔ ɕiʌʔ liʌʔ,sɹ̩ ne i t͡səŋ laʔ he taʔ iɪʔ ɦəʔ bɑ̃ ɦiɤ kɑ̃ ɦe ɦo,a lau si nẽ i t͡siã kaʔ kai pʰeŋ iu lo tã ue,lau si e le i tŋ̩ te kaʔ t͡sit le piŋ iu kɔŋ ue,lau sɹ̩ lɤ tʰa t͡səŋ kəŋ iəʔ kɤ pʰəŋ iəu tau ɕiəʔ lɤ,lɑu sɹ̩ nə tʰɑ tʂəŋ kən i kə pʰəŋ iou ʂuo tʂə xuɑ nə,lɜ sɹ̩ nei gi t͡seŋ zɹ̩ ta tʰuɔ ji kai boŋ jau kuɔ ɕy ɦo,nau sɹ̩ nie tʰa tai kən i kuo pʰoŋ iəu suo xua,lɔ sɹ̩ na ɲia tʂɤŋ lian i kɤ pʰɤŋ iɤu ɕyan xuɑŋ ti ɲi,lau sɹ̩ ni uo tʂəŋ kẽ tʰa i kɤ xuo t͡ɕʰi pʰiã ni,a sei nɛ kʰøy hɐi tou tʰuŋ kɔ pʰɐŋ jɐu kʰiŋ kɐn kɐi lɛ,naɯ sɻ̩ nie tɒ tʂən dzai ɦo i tʂo pʰən iəɯ tɒ tʰai bian kɔn,lɔ sɹ̩ lɛ t͡ɕia tʂə̃ j kɔ pʰə̃ iɯ lia ɕyã tʂɛ
tʰa xai mei ʂuo uan ma,tʰa xai mei iəu so uan a,la xai mei tɛ so uan a,tʰɑ ɦɑ mi ʔi sɥəʔ hɔ ʔɑ,tʰa xai mei lau uan na,tʰa kʰə ʂɻ̩ xɤ me t͡ɕiɑ̃ ʊ̃,tʰə xæ məu ʂo uÃ kæ,tʰa xɛ̃n m̩ iou fə pa ma,ki m̩ tʰien koŋ pʰei he m̩ me,t͡ɕie haʔ mɑu tʰan uɵn nɑ,uʌʔ t͡ɕiɑ xɑŋ mʌʔ lɑ suʌʔ uɑŋ liʌʔ,ɦi ɦɛ ɦm̩ məʔ kɑ̃ hɔ ɦa,i huã tã bue liau a,i ia bueʔ kɔŋ suaʔ hio,tʰa xai məʔ tau ɕiəʔ væ̃ lɤ,tʰɑ xai mei ʂuo van mɑ,gi va mei kuɔ jy a,tʰa xai mau suo uan,tʰa xan mɤ pʰian van ma,tʰa tei sɹ̩ xai mo ʂɤ uã,kʰøy t͡suŋ mei kɔŋ jyn mɛ,tɒ ɦai maɯ kɔn yẽ po,t͡ɕia xɛ mɔ fɔ uã mɔ
xai mei nə ku mə tʂə t͡sai xuər t͡ɕiou ʂuo uan lə,xai mei iəu ta yo xai iəu i xər t͡ɕiəu so uanno,xai mei tɛ to pan xai iəu i xa xa təu so uan ləu,ɦɑ mi lɤ dɑ kɤ t͡sɤ ku ʔiəʔ ɕiəʔ əl dʑiø sɥəʔ ɦuõ tə,xai mei iou ta kai t͡sai tai i xuər t͡ɕiou lau uan lə,xɤ me ta yeʔ mɐʔ t͡sɤ iɯ iəʔ ʂɐʔ t͡ɕiɯ tʂəŋ lə,xæ məu tA kʰæ t͡sæ t͡ɕiÃ i ɕiɔ xA t͡ɕiəu uÃ lə,xɛ̃n m̩ iou xa pa xɛ̃n tə i xuei ɯ t͡ɕiou fə vɛ̃n lɔ,han maŋ tʰien ten it ha tʰiam ki t͡sʰu voi koŋ pʰet le,haʔ mɑu t͡sʰɑ pɨʔ to t͡sai iu tɛʔ iʔ hɑ t͡sɹ̩ t͡ɕiu tʰan uɵn liɛu,mɑ liʌʔ xɑŋ tiʌʔ tʂəŋ tʂəŋ,ɦɛ ɦm̩ məʔ da ke t͡se kɑ̃ iɪʔ ɕiɪʔ ʑiɤ kɑ̃ hɔ ləʔ,huã bue t͡sʰa m to keʔ ke kʰuŋ kiã t͡siu tã tik,ia bue tai iɔʔ t͡sit tiam a tioʔ kɔŋ suaʔ,xai məʔ la ta kai t͡sai iəu iəʔ t͡səŋ t͡səŋ t͡ɕiəu tau ɕiəʔ væ̃ lie,xai mei iou tɑ kai t͡sai tai xuər t͡ɕiou ʂuo van lə,va mei da ke t͡se ku ji o ŋ̩ jɤu kuɔ hɜ ba,xai mau ta kʰai xai iəu i xar t͡ɕiəu suo uan niau,mɤ iɤu ɲi xa pa t͡sai tɤŋ i tʂɤ̃r t͡ɕiɤu fɤ van liɤ,xai mo iou ta mər xai tei i xuər,t͡suŋ mei tai kʰɔi t͡sɔi kɔ jɐt t͡sɐn t͡sɐu kɔŋ jyn lak,ɦai maɯ dai kʰai t͡sai kɔn i t͡sən t͡sɹ̩ dʑiəɯ kɔn yẽ tɒ,xɛ mɔ ta kʰuɔ̃ mv̩ ɛ t͡sɛ j kua kua ɛ xɔ t͡ɕiɯ fɔ uã liɔ
tʰa ʂuo li mar t͡ɕiou t͡sou t͡səm səm pan tʰian lə xai t͡sai t͡ɕia li,tʰa t͡ɕiaŋ ma saŋ t͡ɕiəu t͡səu t͡sa ko t͡se mən t͡ɕiəu no xai t͡sai u tʰəu ne,la so lɛ li ma təu t͡səu t͡sa ko t͡sɹ̩ iaŋ ta pan tʰian ao xai t͡sai u tʰəu lɛ,tʰɑ sɥəʔ tɑŋ mɑŋ dʑiø t͡sø t͡ɕiəʔ kəʔ kəʔ zɹ̩ kuɑŋ ɦɑ lɑʔ hɑ ʔoʔ li,tʰa ʂuo ma ʂaŋ t͡ɕiou t͡sou t͡sa tʂɤ lau pan tʰian lə xai t͡sai t͡ɕia nə,tʰa t͡ɕiɑ̃ ma ʂɑ̃ t͡ɕiɯ t͡sɯ t͡ɕiɑ̃ kɔ ti pʊ̃ tʰiɪ̃ xɤ t͡ɕia zɹ̩ tʰɯ,tʰə ʂo mA ʂÃ t͡səu t͡sA kə tʂɻ̩ pÃ tʰiɛ̃ lə xæ t͡sæ t͡ɕiA ʂəu,tʰa fə ma ʂɑ̃ t͡ɕiou t͡sou li tʂɻ̩ mə̃n pɛ̃ tʰiɛ̃n lɔ t͡sə̃n mə xɛ̃n t͡sɛ vu li li ʂa,ki va lik lak t͡sʰiu t͡seu ŋioŋ an kiu ve han t͡sʰoi vuk kʰa,t͡ɕie uɑ mɑ sɔŋ t͡ɕʰiu t͡sɛu lɔŋ lo pɵn ɲiʔ liɛu haʔ t͡sʰai uɨʔ li mɑ,uʌʔ t͡ɕiɑ suʌʔ t͡sʰəu t͡sɥ t͡ɕiəu t͡səu t͡sɑ ti t͡sʌʔ iŋ t͡sɑŋ xuɑŋ xɑŋ t͡sæ t͡ɕyɤ ʂɻ̩ɤ liʌʔ,ɦi kɑ̃ mo zɑ̃ ʑiɤ t͡sɤ na nəŋ ka ɕy du zəŋ kuɑ̃ ɦɛ laʔ laʔ o li ɕiã,i tã t͡siak si t͡siu kiã t͡so nĩ kau kua huã to lai,i kɔŋ sui beʔ kiã nã e kui puã kaŋ a ia ti t͡sʰu lai,tʰa suəʔ liəʔ ma t͡ɕiəu t͡saʔ ti t͡səʔ pæ̃ tʰie lie xai t͡sai t͡ɕia lɤ,tʰɑ suo mɑ sɑŋ t͡ɕiou t͡sou nən mə nən mə pan tʰian lə xai tai t͡ɕiɑ li,gi kuɔ jɤu t͡sau dɜ ke t͡sɹ̩ na pø ne ba va zɹ̩ vu lei a,tʰa suo t͡ɕiəu ti mo iaŋ t͡sɤ pan tʰiɛn xai mau t͡səu,tʰa fɤ a t͡sɹ̩r t͡ɕiɤu t͡sɤu ɲi mu t͡sa pan ʂɻ̩ tʰian liɤ xan t͡sai tɑŋ t͡sɹ̩ li tʰɤu ɲi,tʰa ʂɤ ma ʂaŋ t͡sou t͡sou t͡sa tau tʂər xai t͡sai u ni,kʰøy wa t͡sik hak t͡sɐu t͡sɐu tim kai kɐm nɔi t͡suŋ hɐi uk kʰei tou,tɒ kɔn səi t͡ɕi dʑiəɯ t͡səɯ i ti kai ko mo pɔn tʰiẽ tɒ ɦai dzai u ni,t͡ɕia fɔ t͡ɕiɯ t͡sɯ lia a mə̃ tʂɻ̩ mə̃ pã tʰiã liɔ tʂɔ xɛ tɛ t͡ɕia l̩ lia
ni ʂɑŋ nar t͡ɕʰy uo t͡ɕin tʂʰəŋ t͡ɕʰi,ɲi t͡səu nər t͡ɕʰie ŋo tau t͡sʰən xəu tʰəu t͡ɕʰie,li t͡səu la tai kʰi ei ŋo t͡səu t͡sʰen tʰəu kʰi,ni tɔ nɑ li t͡ɕʰi ŋo tɔ dzen li t͡ɕʰi,ni ʂaŋ nar t͡ɕʰy uo ʂaŋ kai li,li tɔ la kʰiɤ t͡sʰɥ ʊ tɔ t͡ɕiɤ ʂɑ̃ t͡sʰɥ,ni kʰə nA tiə o kʰə tʂʰə̃ ʂəu kʰə,ɲi la li t͡ɕʰi li və t͡ɕĩn tʂʰə̃n t͡ɕʰi li,n̩ hi nai ie ŋai hi t͡sʰut ke,n̩ tɑu lɑ li t͡ɕʰie ɑ ŋo t͡ɕin sɑŋ t͡ɕʰie,n̩ tɔ lɑ ʐʌʔ tiʌʔ læ ŋiɤ tɔ tʂʰəŋ xʌʔ lei tiʌʔ læ,noŋ tɔ sa di fɑ̃ t͡ɕʰi ŋo tɔ zɑ̃ he t͡ɕʰi,lɯ ãi kʰɯ ti ko ua ãi lai kʰɯ siã lai,li kʰi to ui gua kʰi siã lai,ni t͡ɕʰy na kəʔ ia ɣɤ t͡ɕʰy t͡sʰəŋ li kəʔ ia,ni ʂɑŋ nɑ xər t͡ɕʰy uo ʂaŋ tʂʰəŋ li t͡ɕʰy,ɲi t͡sau ɲau duɔ kʰei a ŋ̩ t͡sau zeŋ tei kʰei,ni tau na ni kʰɯ ŋuo tau t͡sʰən ni kʰɯ,ɲi tɔ na ta t͡ɕʰi ɲi vɤ tɔ tʂʰɤŋ xɑŋ t͡ɕʰi ɲi,ni tau a ta t͡ɕʰi ia ŋɤ t͡ɕiẽ tʂʰəŋ ia,nei høy pin ŋɔ jɐp sɛŋ,ɲi taɯ nɒ tɔn t͡ɕʰie ŋo taɯ dʐən ni t͡ɕʰie,ɲi a tʂa t͡ɕʰj lia nɔ tʂʰə̃ l̩ t͡ɕʰj kɔ lia
t͡sai nar pu t͡sai tʂər,t͡sai nər pu t͡sai t͡sər,t͡sai a tiɛ pu t͡sai t͡sɹ̩ tiɛ,lɑʔ hɑ nɑ dei pəʔ lɑʔ hɑ kəʔ li,t͡sai nei kar pu t͡sai tʂei kar,t͡sɤ la ɔ t͡sə pəʔ t͡sɤ ti ɔ t͡sə,t͡sæ nə tiə pu t͡sæ tʂɻ̩ tiə,t͡sɛ lɛ ta li m̩ iou t͡sɜ tʂɻ̩ ta,hoi ke ie m̩ me e ie,t͡sʰai he li pɨʔ t͡sʰai ko li,t͡sæ uæ ʐʌʔ pʌʔ t͡sæ t͡sæ ʐʌʔ,laʔ ɛ mi vəʔ laʔ gəʔ taʔ,to hɯ ko bo to t͡si ko,ti hia bo ti t͡sia,t͡sai var t͡ɕia pəʔ t͡sai t͡sar t͡ɕia,tai nɑ xər pu tai t͡ɕie xər,zɹ̩ hau duɔ fu zɹ̩ kau duɔ,tai na ni pu tai t͡sɤ ni,t͡sai nei ta ɲi pu t͡sai t͡sa t͡sa,t͡sai uor pu t͡sai tʂɤr,hɐi kɔ tou m hɐi nei tou,dzai nɒ tɔn maɯ dzai ko tɔn,tɛ nɛ tʂa lia mɔ tɛ tʂɻ̩ tʂa tʂɔ
pu nam tʂə tei tʂəm tʂə,pu sɹ̩ na iaŋ t͡sɹ̩ t͡su iau t͡se iaŋ t͡sɹ̩ t͡su,pu sɹ̩ a iaŋ t͡səu sɹ̩ iao ɕiaŋ t͡sɹ̩ iaŋ t͡səu lɛ,pəʔ zɹ̩ zəʔ kɑ tʰoɸ t͡so ʔiɔ kɑ t͡so,pu ʂɻ̩ na mɤ t͡suo tei tʂɤ mɤ t͡suo,pəʔ ʂɻ̩ la iɑ̃ kɔ iɔ ti iɑ̃ kɔ,pu fÃ nə tʂoŋ tʂə̃ iɔ fÃ tʂɻ̩ tʂoŋ tʂə̃,pu ʂɻ̩ lɛ mə̃n ti kə t͡su fa tʂɻ̩ mə̃n t͡su tʂə li,m̩ me ke an ne t͡so oi e ŋioŋ ŋe t͡so,pɨʔ sɹ̩ hɛn t͡su ko iɛu kɔŋ t͡su,pʌʔ sɹ̩ uʌʔ ti xuæ t͡suʌʔ iɔ t͡sʌʔ ti xuæ t͡suʌʔ,vəʔ iɔ ɛ nəŋ t͡su zɹ̩ iɔ gəʔ nəŋ ka t͡su,m mĩ hĩ hẽ t͡so tioʔ t͡sĩ sẽ t͡so,m̩ si a nẽ t͡so si tioʔ a nĩ t͡so,pəʔ sɹ̩ vai təʔ t͡suəʔ sɹ̩ t͡sai təʔ t͡suəʔ,pu sɹ̩ nɑ mə t͡suo sɹ̩ t͡sən mə t͡suo,fu zɹ̩ he naŋ t͡ɕyɔ dʑa ke naŋ t͡ɕyɔ,pu sɹ̩ na iaŋ pan sɹ̩ t͡sɤ iaŋ pan,pu sɹ̩ nei mu t͡ɕia t͡su tei t͡sɹ̩ mu t͡ɕia t͡su,pu sɹ̩ u iaŋr t͡sou sɹ̩ tʂɻ̩ iaŋr t͡sou,m hɐi kɐm t͡sou hɐi jiu kɐm t͡sou kɛ,pu ʂɻ̩ iaɯ nɒ ian t͡səɯ ʂɻ̩ iaɯ ko ian t͡səɯ,nɛ mə̃ t͡ɕia t͡ɕy xɔ mɔ tuɨ tʂɔ iɔ tʂɻ̩ mə̃ t͡ɕia t͡ɕy lia
tʰei tuo lə yŋ pu tʂau nam tuo tʂɻ̩ iau tʂəm tuo t͡ɕiou kou lə,tʰai to no yoŋ pu tau na mən to t͡sɹ̩ iau t͡se mən to t͡ɕiəu kəu no,tʰai to la iao pu tao a iaŋ to t͡sɹ̩ iao t͡sɹ̩ iaŋ to təu kəu la,tʰəʔ kɑ to tə ɦioŋ pəʔ dzɑʔ kɑ sɥ to t͡səʔ ɦiɔ zəʔ kɑ to dʑiø kø tə,tʰai tuo lə yŋ pu tʂau na lau tuo tʂɻ̩ iau tʂɤ ɕiɛ t͡ɕiou kou lə,tʰɤ tʊ tʂə iŋ pəʔ tʂuɐʔ la iɑ̃ tʊ tʂəʔ iɔ ti iəʔ xɔ t͡ɕiɯ kɯ tʂə,tʰæ to lə  pu ɕiɔ nə to tʂɻ̩ iɔ tʂɻ̩ ɕiɛ t͡ɕiəu kəu lə,tʰɛ tuə lɔ ỹn pu ʂɑ̃ lɛ mə̃n ɕiə t͡sɹ̩ t͡sɻ̩ mə̃n ɕiə t͡ɕiou kou lɔ,tʰiet to e m̩ sɹ̩ an to oi an to e t͡sʰiu keu ve,tʰai to sɔŋ liɛu pɨʔ iɛu he to t͡sɨʔ iɛu ko to t͡sɹ̩ t͡ɕʰiu kiɛu liɛu,tʰæ tei lɑ yŋ pʌʔ t͡suʌʔ uʌʔ ɕiɤ ɕiɤ t͡sʌʔ ɕiɤ ɕiɤ t͡ɕiəu ɕiɑ liɑ,tʰəʔ du ləʔ vəʔ iɔ ka ɕy du t͡səʔ iɔ gəʔ ti ʑiɤ kɤ ləʔ,kʰaʔ t͡soi ou miaŋ hiõ t͡soi t͡siõ t͡soi t͡siu la ou,siũ t͡se a m̩ bian hia nĩ t͡se,tʰau tɤ lie yəŋ pəʔ lau vəʔ lai tɤ kuɒ̃ t͡səʔ ɕiar t͡ɕiəu kəu lie,tʰai tuo lə ʐuŋ pu liɑu nɑ mə tuo t͡ɕiou iɑu t͡sən mə tuo t͡ɕiou hou lə,tʰɤu tɤu ba fu jyɔ he naŋ tɤu t͡sɹ̩ jyɔ naŋ tɤu jɤu liɛ tei ba,tʰai tuo niau ioŋ pu tau na iaŋ tuo kuaŋ iau t͡sɤ mo tuo tçiəu kəu niau,tʰai tuɤ liɤ iɔ pu xɑŋ nɤ mu tuɤ t͡sɹ̩ iɔ t͡sei ɕiɤ t͡ɕiɤu kɤu  liɤ,tʰai tuo liɛ t͡sɹ̩ iau tʂei i tiãr t͡sou kou liɛ,tɔ tɐk t͡sɐi la m sɐi kɐm tɔ jiu kɐm tɔ t͡sɐu kɐu la,tʰai to tɒ iaɯ pu niaɯ nɒ ian to tʂɻ̩ iaɯ ko ian to dziəɯ iəɯ tɒ,tʰɛ tu liɔ nɛ mə̃ tu xɔ yə̃ pv̩ uã na tʂɻ̩ mə̃ ɕi xɔ t͡ɕiɯ kɯ liɔ
tʂei kə ta nei kə ɕiau tʂei lia nei kə xɑu tiar,t͡se ko ta na ko ɕiau t͡se niaŋ ko na i ko xau i tiər,t͡sɹ̩ ko ta a ko ɕiao t͡sɹ̩ liaŋ ko tao ti la ko iao xao i tɛ lɛ,t͡ɕiəʔ koʔ do nɑ koʔ ɕiɔ kəʔ liɑŋ koʔ nɑ koʔ hɔ ʔiəʔ tiɤ̃ əl,tʂei kɤ ta nei kɤ ɕiau tʂɤ liaŋ kɤ nei kɤ xau tiar nə,ti kə ta la kə ɕiɔ ti liɑ̃ kə xa kə xɔ xɔ t͡sə,tʂɻ̩ kə tA nə kə xiɔ tʂɻ̩ liÃ kə nA kə xɔ tiə,tʂɻ̩ kə ta lɛ kə ka tʂɻ̩ liɑ̃ kə la kə xɔ ɕiə ʂa,e t͡sak kuo tʰai ke t͡sak kuo se e lioŋ t͡sak na ŋai t͡sak kʰo hau,kei t͡sɑʔ tʰai he t͡sɑʔ ɕiɛu ko liɔŋ t͡sɑʔ lɑ t͡sɑʔ hɑu tiɑʔ t͡sɹ̩ le,t͡sʌʔ xuæ tei uʌʔ xuæ ɕiɔ t͡sʌʔ liɑŋ xuæ lɑ iʌʔ xuæ xɔ ɕiɤ ʐʌʔ liʌʔ,gəʔ t͡saʔ du e t͡saʔ ɕiau liã t͡saʔ li ɕiã ɦa li iɪʔ t͡sãʔ hɔ iɪʔ ŋe ne,t͡si kai tua hɯ kai soi t͡si nõ kai muẽʔ ti kai oi iau ho nẽ,t͡sit le tua hit le se t͡sit lŋ̩ e to t͡sit le kʰaʔ ho,t͡sai ta vai ɕiau t͡səʔ lia kɤ  na kɤ xau ɕiar,t͡sei kə tɑ nei kə ɕiɑu t͡sei liɑ nei kə xɑu i tiar nə,ki kai dɤu he kai sai ki liɛ kai ɲau kai hɜ le nei ,t͡sɤ kuo ta na kuo ɕiau t͡sɤ niaŋ kuo na kuo xau i tier,t͡sei kɤ ta nei kɤ ɕiɔ t͡sei liɑŋ kɤ na kɤ xɔ ɕiɤr,tʂɻ̩ kɤ ta u kɤ ɕiau tʂɻ̩ lia a i kɤ xau,nei kɔ tai kɔ kɔ sɐi nei lœŋ kɔ pin kɔ hou ti nɛ,ko tʂɒ dai nɒ tʂɒ siaɯ ko nian tʂo nɒ i tʂo haɯ i tiẽ,tʂɻ̩ kɔ ta nɛ kɔ ka tʂɻ̩ liɔ̃ kɔ a j kɔ xɔ ɛ ɕi
