dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
PY,Pingyao,1,谁啊?我是老三。,谁咧?我是老三,,suei liʌʔ ŋiE sɿ lɔ sɑŋ,suei13 liʌʔ13 ŋiE53 sɿ35 lɔ53 sɑŋ13,suei13liʌʔ13ŋiɤ53sɹ̩35lɔ53sɑŋ13,sueiliʌʔŋiɤsɹ̩lɔsɑŋ
PY,Pingyao,2,老四呢?她正跟一个朋友说着话呢。,老四咧?兀家正和块朋友捣歇咧。,,lɔ sɿ liʌʔ uʌʔ tɕiɑ tʂʅ xu xuæ pˈəŋ iəu tɔ ɕiʌʔ liʌʔ,lɔ53 sɿ35 liʌʔ13-53 uʌʔ13 tɕiɑ13 tʂʅ35 xu53 xuæ53 pˈəŋ13-35 iəu53-423 tɔ53 ɕiʌʔ13 liʌʔ13,lɔ53sɹ̩35liʌʔ13-53uʌʔ13t͡ɕiɑ13tʂɻ̩35xu53xuæ53pʰəŋ13-35iəu53-423tɔ53ɕiʌʔ13liʌʔ13,lɔsɹ̩liʌʔuʌʔt͡ɕiɑtʂɻ̩xuxuæpʰəŋiəutɔɕiʌʔliʌʔ
PY,Pingyao,3,她还没说完吗?,兀家还没啦说完咧?,,uʌʔ tɕiɑ xɑŋ mʌʔ lɑ suʌʔ uɑŋ liʌʔ,uʌʔ13 tɕiɑ13 xɑŋ13 mʌʔ53 lɑ13 suʌʔ13 uɑŋ13 liʌʔ13,uʌʔ13t͡ɕiɑ13xɑŋ13mʌʔ53lɑ13suʌʔ13uɑŋ13liʌʔ13,uʌʔt͡ɕiɑxɑŋmʌʔlɑsuʌʔuɑŋliʌʔ
PY,Pingyao,4,还没有。大概再有一会儿就说完了。,没啦咧。还得₂阵阵,,mɑ liʌʔ xɑŋ tiʌʔ tʂəŋ tʂəŋ,mɑ53-423 liʌʔ13-35 xɑŋ13 tiʌʔ13 tʂəŋ35 tʂəŋ35-53,mɑ53-423liʌʔ13-35xɑŋ13tiʌʔ13tʂəŋ35tʂəŋ35-53,mɑliʌʔxɑŋtiʌʔtʂəŋtʂəŋ
PY,Pingyao,5,他说马上就走，怎么这半天了还在家里?,兀家说凑住就走，咋底这应盏番还在居舍咧?,,uʌʔ tɕiɑ suʌʔ tsˈəu tsɥ tɕiəu tsəu tsɑ ti tsʌʔ iŋ tsɑŋ xuɑŋ xɑŋ tsæ tɕyE ʂʅE liʌʔ,uʌʔ13 tɕiɑ13 suʌʔ13 tsˈəu35 tsɥ35-53 tɕiəu35 tsəu53 tsɑ53 ti53-35 tsʌʔ53 iŋ31 tsɑŋ53 xuɑŋ13 xɑŋ13 tsæ35 tɕyE13 ʂʅE35-13 liʌʔ13,uʌʔ13t͡ɕiɑ13suʌʔ13t͡sʰəu35t͡sɥ35-53t͡ɕiəu35t͡səu53t͡sɑ53ti53-35t͡sʌʔ53iŋ31t͡sɑŋ53xuɑŋ13xɑŋ13t͡sæ35t͡ɕyɤ13ʂɻ̩ɤ35-13liʌʔ13,uʌʔt͡ɕiɑsuʌʔt͡sʰəut͡sɥt͡ɕiəut͡səut͡sɑtit͡sʌʔiŋt͡sɑŋxuɑŋxɑŋt͡sæt͡ɕyɤʂɻ̩ɤliʌʔ
PY,Pingyao,6,你到哪儿去?我到城里去。,你到哪儿的味?我到城合里的崃,,n̩ tɔ lɑ ʐʌʔ tiʌʔ læ ŋiE tɔ tʂˈəŋ xʌʔ lei tiʌʔ læ,n̩53 tɔ35 lɑ13 ʐʌʔ13 tiʌʔ13 læ13 ŋiE53 tɔ35 tʂˈəŋ13 xʌʔ53 lei53-423 tiʌʔ13 læ13,n̩53tɔ35lɑ13ʐʌʔ13tiʌʔ13læ13ŋiɤ53tɔ35tʂʰəŋ13xʌʔ53lei53-423tiʌʔ13læ13,n̩tɔlɑʐʌʔtiʌʔlæŋiɤtɔtʂʰəŋxʌʔleitiʌʔlæ
PY,Pingyao,7,在那儿，不在这儿。,在𠰻儿，不在哰儿。,,tsæ uæ ʐʌʔ pʌʔ tsæ tsæ ʐʌʔ,tsæ35 uæ35-53 ʐʌʔ13 pʌʔ13 tsæ35 tsæ53 ʐʌʔ13,t͡sæ35uæ35-53ʐʌʔ13pʌʔ13t͡sæ35t͡sæ53ʐʌʔ13,t͡sæuæʐʌʔpʌʔt͡sæt͡sæʐʌʔ
PY,Pingyao,8,不是那么做，要这么做。,不是兀底块做，要这底块做。,,pʌʔ sɿ uʌʔ ti xuæ tsuʌʔ iɔ tsʌʔ ti xuæ tsuʌʔ,pʌʔ13-31 sɿ35 uʌʔ13-35 ti53 xuæ53 tsuʌʔ13 iɔ35 tsʌʔ53-31 ti53 xuæ53 tsuʌʔ13,pʌʔ13-31sɹ̩35uʌʔ13-35ti53xuæ53t͡suʌʔ13iɔ35t͡sʌʔ53-31ti53xuæ53t͡suʌʔ13,pʌʔsɹ̩uʌʔtixuæt͡suʌʔiɔt͡sʌʔtixuæt͡suʌʔ
PY,Pingyao,9,太多了，用不着那么多，只要这么多就够了。,太多了，用不着兀些些，这些些就行了,,tˈæ tei lɑ yŋ pʌʔ tsuʌʔ uʌʔ ɕiE ɕiE tsʌʔ ɕiE ɕiE tɕiəu ɕiɑ liɑ,tˈæ35 tei13-31 lɑ31 yŋ35 pʌʔ13-53 tsuʌʔ13 uʌʔ13-53 ɕiE13-31 ɕiE13-35 tsʌʔ53 ɕiE13-31 ɕiE13-35 tɕiəu35-53 ɕiɑ13-35 liɑ53-423,tʰæ35tei13-31lɑ31yŋ35pʌʔ13-53t͡suʌʔ13uʌʔ13-53ɕiɤ13-31ɕiɤ13-35t͡sʌʔ53ɕiɤ13-31ɕiɤ13-35t͡ɕiəu35-53ɕiɑ13-35liɑ53-423,tʰæteilɑyŋpʌʔt͡suʌʔuʌʔɕiɤɕiɤt͡sʌʔɕiɤɕiɤt͡ɕiəuɕiɑliɑ
PY,Pingyao,10,这个大，那个小，这两个哪一个好一点呢?,这块大，兀块小，这两块哪一块好些儿咧,,tsʌʔ xuæ tei uʌʔ xuæ ɕiɔ tsʌʔ liɑŋ xuæ lɑ iʌʔ xuæ xɔ ɕiE ʐʌʔ liʌʔ,tsʌʔ53 xuæ53 tei35 uʌʔ13-35 xuæ53-423 ɕiɔ53 tsʌʔ53 liɑŋ53 xuæ53 lɑ13 iʌʔ13-31 xuæ53 xɔ53 ɕiE13-31 ʐʌʔ13-35 liʌʔ13,t͡sʌʔ53xuæ53tei35uʌʔ13-35xuæ53-423ɕiɔ53t͡sʌʔ53liɑŋ53xuæ53lɑ13iʌʔ13-31xuæ53xɔ53ɕiɤ13-31ʐʌʔ13-35liʌʔ13,t͡sʌʔxuæteiuʌʔxuæɕiɔt͡sʌʔliɑŋxuælɑiʌʔxuæxɔɕiɤʐʌʔliʌʔ
