beijing,chengdu,guiyang,hangzhou,harbin,hefei,kunming,lanzhou,meixian,nanchang,pingyao,shanghai,shantou,taibei,taiyuan,tianjin,wenzhou,wuhan,wulumuqi,xian,xianggang,xiangtan,xining
iou i xuei,iəu xuei tsɿ,iəu i xuei,ʔiø ʔiəʔ mɔ tsɿ,iou i xuei,iɯ xue tsə,iəu i xuei,iou i xuei,iu it pai,iu fɨi tsɿ,iəu iʌʔ mʌʔ,ɦiɤ tˈɑ̃ tsɿ,u tsek tsua,u tsit pai,iəu iəʔ tsˈɿ,iou i xuei,jau ji tsˈɿ,iəu i xui,iɤu i xuei,iou i xuei,jɐu jɐt tsˈi,iəɯ dʐən tsɿ,iɯ j xuɨ sa
pei fəŋ kən tˈai iɑŋ ai nar tʂəŋ tɕiŋ ʂei tə nəŋ nai ta,pe foŋ kən tˈai iaŋ tsai nər tsən na i ko ni pən sɿ ta,pɛ foŋ tˈoŋ tˈai iaŋ tsai a tɛ tsen la ko lɛ pen sɿ ta,poʔ foŋ tɑʔ tˈE ɦiɑŋ lɑʔ hɑ tsen tsen əl,pei fəŋ kən tˈai iaŋ tsai nei kar pai tʂˈɤ ʂei ti tʂaŋ tʂˈəŋ ta,pɐʔ fəŋ kən ʐəʔ tˈɯ tsE la ɔ tsə tsən lən xa kə pən sɿ ta,pə foŋ æ tˈæ iÃ tsæ nə tiə tsə̃ luə̃ nA kə nə pə̃ sɿ tA,pə fə̃n liɛ̃n ʐʅ tˈou tsɛ lɛ tˈa tʂˈɔ tʂə fə fei ti pə̃n ʂʅ ta,pet fuŋ tˈuŋ ŋit tˈeu hoi ke ie au man ŋin ke pun sɿ kuo tˈai,pɛʔ fuŋ tˈuŋ tɑu ȵiʔ tˈɛu kˈu tɛʔ he li tsɑŋ lɑ ko ko pɨn sɿ tˈai,pʌʔ xuŋ xu ʐʌʔ təu iE tsæ uæ ʐʌʔ tsəŋ luŋ suei məŋ tiʌʔ pəŋ sɿ tei,poʔ foŋ təʔ tˈa ɦiã tsəŋ hɔ ləʔ leʔ tsã sa ȵiŋ ɦəʔ pəŋ zɿ du,pak huaŋ kaʔ a zik tˈau to hɯ ko lo a tã ti tiaŋ kai kˈaŋ kˈue ŋẽ,pak hɔŋ kaʔ tˈai iɔŋ ti hia sio tsĩ kɔŋ kˈuã siã laŋ kˈaʔ u pun su,pei fəŋ xuɤ iɒ̃ pˈɤ tsai var tɕia tsəŋ suei təʔ pəŋ sɿ ta,pei fəŋ kən tˈai iɑŋ tsai nɑ xər tsəŋ tɕiŋ sei ti pən sɿ tɑ,pai hoŋ kˈuɔ tˈa ji zɿ ta dziɛ ȵi naŋ ke paŋ zɿ dɤu le,pɤ foŋ kən tˈai iaŋ tsai na ni tsən sa kuo ti pən sɿ ta,pei fɤŋ kɤŋ tˈai iaŋ tsai nei ta tsɤŋ sei ti pɤŋ sɿ ta,pei fəŋ kẽ ər tˈou tsai uor tsəŋ sei ti pẽ sɿ ta,pɐk fuŋ tˈuŋ jɐt tˈɐu hɐi tou au pin kɔ kɛ pun si tai,pæ ɸən tɒ tˈai ian tʂən haɯ dzai tsən nɒ ko ti pən sɿ dai,pɨ fə̃ tɛ ʐɛ tˈɯ ɛ lia tɛ j tʂˈv̩ ɛ tsə̃ tɕə̃ tɕiɔ̃ fɨ tsɿ pə̃ sɿ ta
tʂəŋ lai tʂəŋ tɕˈy tɕiou ʂʅ fən pu tʂˈu kə kɑu ti lai,tsən ko nai tsən ko tɕˈie tɕiəuqe sɿ fən pu tsˈu kau ŋai,tsen lai tsen tɕˈɛ təu sɿ fen pu tsˈu kao ti tsˈaŋ tuan lai,pi nɑ koʔ tiəʔ pen zɿdo,pai tʂˈɤ lai pai tʂˈɤ tɕˈy tɕiou sʅ pai tʂˈɤ pu tʂˈu kɤ kau ti lai,tsən lE tsən tsˈɥ tɕiɯ ʂʅ pəʔ fən kɔ tsɿ,tsə̃ læ tsə̃ kˈə tɕiəu ʂʅ fə̃ pu tʂˈu kə kɔ ti læ,tʂə̃n lɛ tʂə̃n tɕi tɕiou ʂʅ fə̃n pu pfˈu kə kɔ ti lɛ,au loi au hi mo mak ke kiat kuo,tsɑŋ lai tsɑŋ tɕˈie tɕˈiu sɿ fɨn pɨʔ tsˈɨʔ ɕy iɑŋ lai,tsəŋ læ tsəŋ tɕˈy tɕiəu sɿ xuŋ pʌʔ tsˈuʌʔ xuæ kɔ ti læ,tsã le tsã tɕˈii tsã vəʔ tɕˈiŋ sɑ̃ ɦəʔ zəŋ kuɑ̃,a lai a kˈɯ tsiu si si a m tsˈuk su iã,tsĩ lai tsĩ kˈi ia tsĩ bo tsit le su iã,tsəŋ lai tsəŋ tɕˈy tɕiəu sɿ fəŋ pəʔ tsˈuəʔ kɤ kau ti lai,tʂəŋ lai tsəŋ tɕˈy xai sɿ fən pu tsˈu kɑu ti lai,dziɛ le dziɛ kˈei a kuɔ fu tɕˈy dɤu sai lei,tsən nai tsən kˈɯ xai sɿ fən pu tɕˈy kuo kau ti nai,tsɤŋ kuɤ lai tsɤŋ kuɤ tɕˈi ti ȵiŋ sɿ fɤŋ pu tʂˈu kɤ kɔ ti ʂɑŋ ɕia,tsəŋ kuo lai tsəŋ kuo tɕˈi tsou sɿ fẽ pu pfˈu kɤ kau ti,au lɐi au høy tsɐu hɐi fɐn m tsˈøt kou tɐi,tsən nai tsən tɕˈie dziəɯ ʂʅ ɸən pu tsˈin kaɯ ti,tɕə̃ lɛ tɕə̃ tɕˈj tɕiɯ sɿ fə̃ pv̩ tʂˈv̩ kɔ tsɿ lɛ
tʂei xyər lai lə kə tsou taur tə,i xər nu saŋ nai no i ko kan nu ni,tsen tsai tsɿ ko sɿ xəu lu saŋ lai la ko tsəu lu lɛ,kəʔ koʔ zɿ kuɑŋ lu kɔ dei ʔiø koʔ zen tsei ku lE tə,tʂɤ ʂʅ xour taur ʂaŋ lai lə kɤ tsou taur ti,ti kə ʂʅ xɯ lE tʂə iəʔ kə tsɯ lu tiəʔ,tʂʅ xA tsɿ lu ʂÃ læ lə kə ko lu nə,tʂʅ ʂʅ tɕiə lu ʂɑ̃ lɛ lɔ i kə tsou lu ti,koŋ hau ke sɿ heu loi it tsak kuo lu ke ŋin,ko tsˈɔŋ tsuŋ lai liɛu iʔ ko kuo lu ko,tsʌʔ tʂəŋ ləu ləu xɔ læ lɔ xuæ tsəu tɔ tɔ tiʌʔ,lu lɑ̃ ɕiã tsɤ ku le iɪʔ ɦəʔ ȵiŋ,tsi e muẽʔ lou ko lai liau kai kue lou naŋ,tsit le si tsun lɔ pĩ a u tsit le laŋ kiã kue lai,tsai sɿ xəu ləu sɒ̃ lai lau kɤ tsəu ləu təʔ,tsei kuŋ fur lu ʂɑŋ lai lə kə tsou tɑur ti,kai zɿ tɕi løy ji jau kai ɦɛ løy ku naŋ,tsɤ sɿ xəu nəu saŋ nai niau kuo tsəu nəu ti,tsei kɤ sɿ tɕiɤ kɤ lu sɑŋ kuɤ lai liɤ kɤ kan lu ti,tʂɤ kɤ sɿ xou lu xa kuo lai liɛ i kɤ ʐẽ,nei tsɐn si tˈiu lou lɐi tsɔ kɔ haŋ lou kɛ jɐn,ko ʂʅ ʂʅ nəɯ ʂɔn nai tɒ tʂɒ tsəɯ nəɯ ti in,tʂʅ kɔ sɿ xɯ lv̩ʂɔ̃ lɛ liɔ j kɔ tsɯ lv̩ tsɿ
tˈa ʂən ʂɑŋ tʂˈuan lə tɕiar xou ta i,tˈa sən saŋ tsˈuan tau i tɕian xəu ta i,la sen saŋ tsˈuan tɕˈi tɕian xəu ta i,tˈɑ sen kɔ dei tsˈɥõ tə ʔieʔ dʑiẼ ɦei tˈɑ ʔi,tˈa ʂən ʂaŋ tʂˈuan tʂə tɕian xou ta i,tˈa ʂən ʂɑ̃ tʂˈʊ̃ tɕiɪ̃ xɯ ta tʂˈɑ̃,tˈə ʂə̃ ʂÃ tʂˈuÃ tə tɕiɛ xəu xəu nə tA i,la ʂə̃n ʂɑ̃ pfˈɛ̃n lɔ tɕiɛ̃n xou ta i,ki sən hoŋ tsok e it kˈian pˈun mien au,tɕie sɨn sɔŋ tsˈɵn tau tɕˈiɛn hɛu tˈai i,uʌʔ tɕiɑ ʂəŋ xɔ tsˈuə tiʌʔ tɕiE ɕy ŋɔ ʐʌʔ,səŋ lɑ̃ tsaʔ ləʔ iɪʔ dʑi ɦɤ da i,i siŋ teŋ tsˈeŋ kai kau kau kai tua lau,i sin kˈu tsˈiŋ tioʔ tsit liã kau tua i,tˈa səŋ sɒ̃ tsˈuæ̃ lau tɕie xəu ta tsˈɒ̃,tˈɑ sən sɑŋ tsˈuan tʂə tɕiar xou tɑ i,saŋ ji tɕa dʑi gau ke da ji,tˈa sən saŋ tsˈuan tau tɕiɛn xəu ta i,ʂɤŋ xɑŋ tʂˈuan ti i tɕian tsɿ xɤu ta i,ʂẽ xa pfˈã liɛ tɕiar xou ta tʂˈaŋ,kˈøy tsœk tsy kin hɐu tai lɐu,tˈɒ ʂən ʂɔn tɕˈyẽ tɒ i dʑiẽ ɦəɯ i ɸu,tɕia ʂə̃ ʂɔ̃ tʂˈuã liɔ j tɕiã xɯ ta j
tam lia tɕiou ʂuo xɑu lə,tˈa mən niaŋ ko ɕian tɕiaŋ xau no,la men liaŋ ko təu so xao,poʔ foŋ tɑʔ tˈE ɦiɑŋ dʑiø sɥəʔ hɔ tə,tˈa mən lia tɕiou ʂuo xau lə,tˈa mən tɕiɯ tɕiɑ̃ xɔ tʂə,tˈə mə̃ liÃ kə tɕˈiɛ̃ tɕiəu pÃ xɔ tə,tˈa mə̃n liɑ̃ kə tɕiou fə tĩn lɔ,ki lioŋ ke ŋin tsˈiu koŋ hau ve,tɕie mɨn liɔŋ ko tɕˈiu ȵi tsɑŋ liɛu,uʌʔ tɕiɑ liɑŋ xuæ suʌʔ xɔ lɑ,ɦi la liã ka dɤ ʑiɤ ɦuã toŋ dɔ kɑ̃ hɔ,i naŋ nõ naŋ tsiu tsˈo tsˈiaŋ ho tã,in lŋ e tioʔ kɔŋ ho,tˈa məʔ lia tɕiəu suaʔ xau lie,tˈɑ mən liɑ tɕiou suo xɑu lə,gi liɛ kai nɐ jɤu kuɔ,tˈa mən niaŋ kuo tsəu suo xau niau,ȵia mɤŋ liɑŋ kɤ fɤ tˈuɤ liɤ,,kˈøy tei lœŋ kɔ tsɐu kɔŋ tiŋ tsɔ,tˈɒ in i tɕˈi dziəɯ kɔn haɯ tɒ,tɕia mə̃ lia tɕiɯ fɔ xɔ liɔ
ʂei nəŋ ɕian tɕiɑu tʂei kə tsou tɑur tə pai tˈa tə xou ta i tˈuo ɕia lai,kˈan na ko nən kəu ɕian tɕiau tse ko kan nu ni tˈo ɕia tˈa ni xəu ta i,la ko ɕiaŋ tɕiao tsɿ ko tsəu lu lɛ tˈo ɕia la lɛ xəu ta i lai,nɑ koʔ nen tɕiɔ tɕiəʔ koʔ tsei lu kəʔ lɔ kuõ pəʔ ɦei dɑ ʔi tˈoʔ loʔ lE,ʂei nəŋ ɕian tɕiau tʂei kɤ tsou taur ti tˈuo ɕia tˈa ti xou ta i,xa kə lən tɕiɔ ti kə tsɯ lu tiəʔ tˈuɐʔ tiɔ xɯ ta tʂˈɑ̃,nA kə tɕˈiɛ̃ xÃ tʂʅ kə ko lu nə tˈo ɕiA tˈə nə xəu tA i,kˈɛ̃n fei lə̃n ɕiɛ̃n tɕiɔ tʂʅ kə tsou lu ti pa tˈa ti xou ta i tˈuə tɔ,man ŋin he nen keu sien ham ke tsak kuo lu ke ŋin tˈot ha ki sən hoŋ ke pˈun mien au,uɑ ko lɑ ko iɛu sɿ ɕiɛn u tɛʔ ko tsɑʔ kuo lu ko tˈɵʔ pɨʔ tɕie ko tˈai i tɕˈie,suei nəŋ ɕiE tɕiɔ uʌʔ xuæ tsəu tɔ tɔ tiʌʔ ɕy ŋɔ ʐʌʔ læ,tɕˈia sɿ sa ȵiŋ nəŋ kɤ ɕi tɕiɔ diɪʔ ɦəʔ tsɤ lu ɦəʔ ȵiŋ tˈəʔ tˈəʔ ɦi ɦəʔ ɦɤ da i,ti tiaŋ u piaŋ sõi kio tsi kai kue lou naŋ tˈɯŋ tiau hɯ kai tua lau,kˈuã siã laŋ siŋ u huat to kio hit le laŋ tˈŋ kˈi i e tua i,suei nəŋ ɕie tɕiau vai tsəu ləu təʔ tˈuaʔ xa lai tˈa təʔ xəu ta tsˈɒ̃,sei nəŋ tɕˈian tɕiɑu tsei kə tsou tɑur ti lie çiɑ tˈɑ tə xou tɑ i ,tsˈɿ aȵi naŋ naŋ deɦɛ løy ku naŋ ke gau da ji tˈai ɦuɔ ɕi,na kuo nən ɕiɛn tɕiau tsɤ kuo tsəu nəu ti tˈip ɕia tˈa ti xəu ta i,na kɤ ʐɤŋ tan ɕian tɕiɔ tsei kɤ kan lu ti tˈuɤ tiɔ tˈa ti xɤu ta i,,pin kɔ nɐŋ kɐu sɐi tɐk nei kɔ haŋ lou kɛ jɐn tsˈøy tɐi kˈøy kin hau tai lɐu,nɒ ko nən siẽ tɕuaɯ ko tʂɒ tsəɯ nəɯ ti in tˈo kɒ tˈɒ ti ɦəɯ i ɸu,fɨ nə̃ ɕiã tɕiɔ tʂʅ kɔ tsɯ lv̩ tsɿ pa xɯ ta j tˈu ɔ̃ xa lɛ
tɕiou suan ʂei tə nəŋ nai ta,tɕiəu suan na ko ni pən sɿ ta,tɕiu suan la ko lɛ pen sɿ ta,dʑiø sɥõ nɑ koʔ ti pen zɿ do,tɕiou suan ʂei ti tʂaŋ tʂˈəŋ ta,tɕiɯ sʊ̃ xa kə tiəʔ pən sɿ ta,tɕiəu suÃ nA kə nə pə̃ sɿ tA,tɕiou suɛ̃n fei ti pə̃n ʂʅ ta,tsˈiu son man ŋin kuo iu pun sɿ,tɕˈiu sɵn tɕie ko pɨn sɿ tˈai,tɕiəu suɑŋ suei tiʌʔ pəŋ sɿ tei,ʑiɤ sø sa ȵiŋ ɦəʔ pəŋ zɿ du,tsiu sɯŋ tso ti tiaŋ kai kˈaŋ kˈue ŋẽ,tioʔ sŋ̩ kɔŋ siã laŋ pun su tua,tɕiəu suæ̃ suei təʔ pəŋ sɿ ta,tsou suan sei ti pən sɿ tɑ,jɤu sø a ȵi naŋ paŋ zɿ dɤu,tsəu san na kuo ti pən sɿ ta,tɕiɤu suan na kɤ ʐɤŋ ti tʂɑŋ tʂˈɤŋ ta,tsou suã sei ti pẽ sɿ ta,tsɐu syn pin kɔ kɛ pun si tai,dziəɯ sɔn nɒ ko ti pən sɿ dai,tɕiɯ suã fɨ tsɿ pə̃ sɿ ta
pei fəŋ tɕiou i kə tɕiər tə kua lə tɕˈi lai,pe foŋ tɕiəu tsan tɕin ni tsˈuei tɕˈi nai,pɛ foŋ təu tsan tɕin tsan tɕin lɛ tsˈuei tɕˈi lai,poʔ foŋ dʑiø ɦioŋ dʑin kuɑʔ tɕˈi lE,pei fəŋ tɕiou ʂʅ tɕiər ti kua tɕˈi lai lə,pɐʔ fəŋ tɕiɯ tʂˈuəʔ tɕin tʂˈue tɕiɑ̃ tsˈɿ lE,pə foŋ tɕiəu ʂʅ li nə kuA tɕˈi læ,pə fə̃n tɕiou ɕia tʂˈa ti kua kˈɛ lɔ,pet fuŋ tsˈiu tsˈin kuat hi loi,pɛʔ fuŋ tɕˈiu tsan tɕin tsˈui,pʌʔ xuŋ tɕiəu sɿ tɕiŋ tɕiŋ ti kuʌʔ,poʔ foŋ dʑiɤ ɦioŋ tsoʔ tsɿ liɪʔ tɕˈi dʑioŋ tsˈɿ paʔ tsˈɿ ləʔ,tã tik pak huaŋ tsiu tsˈuk lak tsˈẽ tˈau,pak hɔŋ tioʔ pˈaʔ piã tsˈe kˈi lai,pei fəŋ tɕiəu sɿ tɕiəŋr təʔ kuaʔ kˈai lie,pei fəŋ tɕiou sɿ tɕiər ti kuɑ tɕˈi lai lə,pai hoŋ pˈeŋ meŋ tsˈɿ,y sɿ pɤ foŋ tsəu ŋuo sɿ ti kua tɕˈi nai niau,pei fɤŋ tɕiɤu fɑŋ tʂan liɤ sɿ tɕiŋ kua tˈuɤ liɤ,pei fəŋ tsou ku tɕiər ti kua kˈai liɛ,pɐk fuŋ tsɐu tsˈøt lik kɐm kwat hei sœŋ lɐi lak,pæ ɸən niəɯ ʂʅ tsan tɕin ɸɒ tɕˈi ɸən nai,pɨ fə̃ tɕiɯ xu ʂɔ̃ lɔ miə̃ tʂu tʂˈuɨ tˈu liɔ
pu kuo pei fəŋ yɛ ʂʅ kua tə li xai,ɕiau te pu tˈa tsˈuei te ye ɕyoŋ,tan pu ko sɿ la tsˈuei tɛ iɛ ɕioŋ,nɑ ɕiɔ təʔ tˈɑ ɦyəʔ zɿ kuɑʔ təʔ ȵi ɦE,pu kuo tˈa yɛ ʂʅ kua ti li xai,xa ɕiɔ tən tˈa tʂˈue tiəʔ yɐʔ ɕiŋ,pu ko tˈə iɛ fA kuA nə li xæ,kˈə ʂʅ tˈa kua ti yə ɕỹn,put kuo ki iat kuat,lɑ ɕiɛu tɛʔ tɕie yɵʔ sɿ ŋɑ miɑŋ li tsˈui,uʌʔ tɕiɑ yʌʔ sɿ kuʌʔ tiʌʔ li xæ,poʔ ku tɕiɔ sa ɦi ɦyɪʔ tsˈɿ təʔ tɕiɪʔ kuən məʔ,tso tsai i tˈau zu tua lak,m̩ ko i lu tsˈe,pəʔ kuɤ tˈa kuaʔ tiəʔ yəʔ li xai,pu kuo tˈɑ ye kuɑ ti lie xai,ȵau ɕa tei pai hoŋ jy zɿ tsˈɿ tɕai ɕyɔ,kˈuo sɿ tˈa ye sɿ kua tɤ ɕioŋ,tan tˈa kua ti yɤ sɿ tɕiŋ ta,tˈa yɛ kua yɛ ta,pɐt kwɔ kˈøy jyt hɐi kwat tɐk sɐi lei,tʂʅ ʂʅ tˈɒ yæ tsan tɕin tɕˈyei,fɨ tʂʅ tɔ tɕia yu tʂˈuɨ tʂu l̩ xɛ
